Group 1,Group 2,Group 3
0.0,1.0,0.0
1.4112279563053244e-32,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
5.060874208050928e-264,1.0,0.0
8.054331226094319e-168,1.0,0.0
0.0,1.0,0.0
6.144223792197789e-16,1.0,0.0
1.5689917142837914e-41,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
5.444881406318517e-13,0.9999999999994529,0.0
1.0095940461178413e-296,1.0,0.0
2.8785752743978546e-25,1.0,0.0
3.3831384738040946e-202,1.0,0.0
2.042190404859454e-13,0.9999999999997939,0.0
2.0612684133044186e-259,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
3.8462141156836845e-23,1.0,0.0
3.3489190974361454e-10,0.999999999665107,0.0
5.484053715838713e-266,1.0,0.0
0.0,1.0,0.0
2.3648289661262368e-14,0.9999999999999787,0.0
2.8362316938732632e-164,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
2.4343416839783757e-165,1.0,0.0
4.410379801159873e-205,1.0,0.0
2.959366592059508e-74,1.0,0.0
0.0,1.0,0.0
7.21684974964394e-46,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
8.661691501400108e-28,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.993575519367153,0.006424480632847567,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
1.8186114411066351e-38,1.0,0.0
5.782751589974963e-15,0.9999999999999929,0.0
0.08215631640675819,0.9178436835932433,0.0
9.139983143755649e-210,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9999994873463827,5.126536161744866e-07,0.0
0.9999994784926339,5.215073674915177e-07,0.0
5.1590201838192335e-20,1.0,0.0
0.0,1.0,0.0
0.4883285056072055,0.5116714943927921,0.0
8.85442610829937e-26,1.0,0.0
0.0,1.0,0.0
6.64446482123956e-49,1.0,0.0
6.7176895598601396e-161,1.0,0.0
0.999998931745749,1.068254250839468e-06,0.0
6.165422372636695e-84,1.0,0.0
0.010216958742450275,0.9897830412575527,0.0
0.0,1.0,0.0
0.999998921113231,1.078886770060307e-06,0.0
8.982433481419906e-195,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
8.611148082789589e-29,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
9.421657649573902e-11,0.999999999905782,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.010664433592176198,0.9893355664078253,0.0
7.861250533436622e-69,1.0,0.0
0.0,1.0,0.0
1.9015002751224125e-211,1.0,0.0
0.0,1.0,0.0
4.33725983408709e-181,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
2.127523684417892e-49,1.0,0.0
0.0,1.0,0.0
4.2078407543463425e-134,1.0,0.0
4.256733615056244e-60,1.0,0.0
3.6124685256873023e-38,1.0,0.0
7.598010217741394e-24,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
1.6212543701772094e-06,0.9999983787456299,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
7.833962630752441e-69,1.0,0.0
0.0,1.0,0.0
2.5150678803834065e-42,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
5.583917070015746e-60,1.0,0.0
2.2173065887409476e-57,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
5.236544381461641e-53,1.0,0.0
0.0,1.0,0.0
6.533613888097467e-16,1.0,0.0
1.7947862397083926e-25,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
5.256629301947787e-29,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.9998896468308948,0.00011035316910618961,0.0
1.0056575909340939e-103,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
2.1415987198986273e-98,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
4.787714808546522e-30,1.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,0.0,1.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
5.051032312999564e-40,1.0,0.0
0.0,1.0,0.0
2.933466367774511e-19,1.0,0.0
2.617786000026218e-109,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
3.1806320889861345e-40,1.0,0.0
0.0,1.0,0.0
0.0,1.0,0.0
